Item,Quantity,Measurment,Kind,Arabic Name,Date
Red Apple,20,Each,Fruit,تفاح أحمر,"Dec, 5, 17"
Green Apple,20,Each,Fruit,تفاح أخضر,"Dec, 5, 17"
Pear,15,Each,Fruit,كمثرى,"Dec, 5, 17"
Banana,18,Each,Fruit,موز,"Dec, 5, 17"
Orange,23,Each,Fruit,برتقال,"Dec, 5, 17"
Tangerine,70,Each,Fruit,يوسف أفندي,"Dec, 5, 17"
Guava,9,Each,Fruit,جوافة,"Dec, 5, 17"
Pineapple,8,Each,Fruit,أناناس,"Dec, 5, 17"
Lemon,15,Each,Fruit,ليمون,"Dec, 5, 17"
Melon,4,Each,Fruit,خربز,"Dec, 5, 17"
Pomelo,6,Each,Fruit,بوملي,"Dec, 5, 17"
Quince,13,Each,Fruit,سفرجل,"Dec, 5, 17"
Mango,9,Each,Fruit,منجا,"Dec, 5, 17"
Pomegranate,33,Each,Fruit,رمان,"Dec, 5, 17"
Sweet Corn,15,Each,Vegetable,ذرة حلوة,"Dec, 5, 17"
Carrot,28,Each,Vegetable,جزر,"Dec, 5, 17"
Sweet Potato,16,Each,Vegetable,جزر يماني,"Dec, 5, 17"
Potato,20,Each,Vegetable,بطاطس,"Dec, 5, 17"
Butternut Squash,2,Each,Vegetable,قرع طويل,"Dec, 5, 17"
Green Squash,2,Each,Vegetable,دبة,"Dec, 5, 17"
Bell Pepper,15,Each,Vegetable,فلفل رومي,"Dec, 5, 17"
Eggplant,6,Each,Vegetable,باذنجان,"Dec, 5, 17"
Zucchini,15,Each,Vegetable,كوسا,"Dec, 5, 17"
Celery,1,Bunch,Vegetable,كرفس,"Dec, 5, 17"
Broad Beans,1,Bag,Vegetable,فول أخضر,"Dec, 5, 17"
Okra,1,Bag,Vegetable,بامية,"Dec, 5, 17"
Green Beans,1,Bag,Vegetable,فاصوليا خضراء,"Dec, 5, 17"
Chestnut,1,Small Box,Vegetable,كستناء,"Dec, 5, 17"
Cilantro,1,Bunch,Vegetable,كزبرة,"Dec, 5, 17"
Parsley,1,Bunch,Vegetable,بقدونس,"Dec, 5, 17"
Purslane,1,Bunch,Vegetable,بقلة,"Dec, 5, 17"
Arugula,2,Bunch,Vegetable,جرجير,"Dec, 5, 17"
Spinach,2,Bunch,Vegetable,سبانخ,"Dec, 5, 17"
Dill,1,Bunch,Vegetable,شبث,"Dec, 5, 17"
Romaine Lettuce,2,Head,Vegetable,خس طويل,"Dec, 5, 17"
Iceberg Lettuce,2,Head,Vegetable,خس مدور,"Dec, 5, 17"
Leek,1,Bunch,Vegetable,كراث,"Dec, 5, 17"
Red Radish,1,Bunch,Vegetable,فجل أحمر,"Dec, 5, 17"
Green Onion,1,Bunch,Vegetable,بصل أخضر,"Dec, 5, 17"
White Onion,20,Each,Vegetable,بصل أبيض,"Dec, 5, 17"
Red Onion,40,Each,Vegetable,بصل أحمر,"Dec, 5, 17"
Jew's Mallow,3,Bunch,Vegetable,ملوخية,"Dec, 5, 17"
Beet,24,Each,Vegetable,بنجر,"Dec, 5, 17"
Tomato,45,Each,Fruit,طماطم,"Dec, 5, 17"
Cucumber,10,Each,Vegetable,خيار,"Dec, 5, 17"
Armenian Cucumber,15,Each,Vegetable,قثا,"Dec, 5, 17"
Cherry Tomato,2,Small Box,Fruit,طماطم صغيرة,"Dec, 5, 17"
Green Apple,21,Each,Fruit,تفاح أخضر,"Jan, 22, 18"
Red Apple,21,Each,Fruit,تفاح أحمر,"Jan, 22, 18"
Banana,60,Each,Fruit,موز,"Jan, 22, 18"
Small Banana,16,Each,Fruit,موز صغير,"Jan, 22, 18"
